leaf_id,revision,iterations,candidate_run1_us,candidate_run2_us,main_run1_us,main_run2_us,upstream_run1_us,upstream_run2_us,upstream_run1_outcome,upstream_run2_outcome,main_vs_upstream_status,main_vs_upstream_run1_speedup_pct,main_vs_upstream_run2_speedup_pct,main_vs_upstream_two_run_speedup_pct,candidate_vs_main_status,candidate_vs_main_run1_speedup_pct,candidate_vs_main_run2_speedup_pct,candidate_vs_main_two_run_speedup_pct,performance_valid,performance_invalid_reason
primitive_type.line_loop.fixed_function,1,10,817,670,702,674,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.line_loop.vertex_shader,1,10,631,634,619,642,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.line_strip.fixed_function,1,10,651,663,629,654,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.line_strip.vertex_shader,1,10,653,629,605,642,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.lines.fixed_function,1,10,1191,1201,1221,1199,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.lines.vertex_shader,1,10,1179,1183,1208,1202,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.points.fixed_function,1,10,1152,657,1548,658,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.points.vertex_shader,1,10,1195,682,1458,658,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.polygon.fixed_function,1,10,649,644,670,663,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.polygon.vertex_shader,1,10,628,629,621,630,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.quad_strip.fixed_function,1,10,1542,1217,2194,1260,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.quad_strip.vertex_shader,1,10,1373,1181,1979,1200,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.quads.fixed_function,1,10,2269,2332,2279,2353,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.quads.vertex_shader,1,10,2291,2304,2304,2335,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.triangle_fan.fixed_function,1,10,646,645,622,660,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.triangle_fan.vertex_shader,1,10,613,639,612,636,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.triangle_strip.fixed_function,1,10,619,629,611,624,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.triangle_strip.vertex_shader,1,10,621,624,614,629,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.triangles.fixed_function,1,10,1744,1754,1741,1780,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
primitive_type.triangles.vertex_shader,1,10,1735,1745,1752,1771,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
report_query.clear_boundary,2,4,1342,1391,1216,1636,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
report_query.dma_descriptor_rewrite,2,1,5139,3405,3522,3698,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
report_query.dma_range_guard,2,1,2204,1965,2271,2441,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
report_query.dma_target_switch,2,4,1604,1418,1736,1839,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
report_query.fifo_producer_ordering,2,4,1784,1706,1867,1974,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
report_query.multiple_boundaries,2,4,1067,1248,1029,1206,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
report_query.single_boundary,2,4,1179,1270,1314,1227,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
report_query.zero_query,2,4,966,1045,1056,1013,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.basic,1,10,17474,14953,18770,14780,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.cpu_read_after_gpu_write,1,20,1398,1211,1345,1342,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.cpu_read_clean_surface,1,100,59,59,60,61,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.framebuffer_working_set_002,1,20,1361,1427,1448,1350,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.framebuffer_working_set_008,1,20,1395,1421,1277,1313,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.framebuffer_working_set_032,1,20,1359,1394,1362,1389,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.framebuffer_working_set_064,1,20,1446,1462,1424,1390,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.full_clear_elision_guard,1,100,2016,2023,1921,1777,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.overlapping_surface_churn_representative,1,100,2053,2081,2073,2129,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.overlapping_surface_churn_stress,1,10,25616,26081,25788,25968,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.partial_channel_clear_guard,1,100,1437,1433,1436,1443,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.surface_download_path,1,10,17366,17173,18135,17034,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.surface_list_lookup_002,1,20,1203,1184,1257,1199,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.surface_list_lookup_008,1,20,1199,1196,1224,1162,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.surface_list_lookup_032,1,20,1218,1215,1225,1226,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.surface_list_lookup_128,1,20,1240,1289,1283,1365,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.vulkan_memory_pressure.representative.alias_resize,1,4,16740,16657,16928,16809,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.vulkan_memory_pressure.representative.growth,1,4,17978,17352,17818,17481,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.vulkan_memory_pressure.representative.idle_retention,1,4,714,726,699,735,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.vulkan_memory_pressure.representative.plateau,1,4,14862,15099,14908,15817,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.vulkan_memory_pressure.representative.reuse,1,4,16486,16190,16135,16560,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.vulkan_memory_pressure.stress.alias_resize,1,4,71823,71089,71169,70062,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.vulkan_memory_pressure.stress.growth,1,4,67561,67871,68632,67430,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.vulkan_memory_pressure.stress.idle_retention,1,4,809,799,812,903,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.vulkan_memory_pressure.stress.plateau,1,4,60006,59903,60346,60357,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
surface.vulkan_memory_pressure.stress.reuse,1,4,70316,70071,70482,70514,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
